serie,fit,type,centre,amplitude,FWHM,offset,xmin_fit,xmax_fit
Balayage avec aimant,1,lorentzienne,1.099872190943672,7.047886272992503,0.0588163147194071,-0.13009206393347375,1.0,1.16
Balayage avec aimant,2,lorentzienne,1.157291660557261,3.2232732617895965,0.04445999924190176,-0.6319035319026292,1.16,1.19
Balayage avec aimant,3,lorentzienne,1.205734908486457,0.30268853868629997,0.020935145694352356,0.26639075179811866,1.19,1.4
