serie,fit,type,centre,amplitude,FWHM,offset,xmin_fit,xmax_fit
Sweep with magnet,1,lorentzienne,1.1020536410325001,7.1570950317513224,0.05518878007901546,-0.022403773989370324,1.0,1.16
Sweep without magnet,1,lorentzienne,1.1937921008566386,0.05801605894755035,0.10296536861379725,0.11569711141494715,1.0,2.0
