Frequence_GHz,Amplitude_Moyenne,Erreur_Standard
0.8,0.19946370000000002,0.02128949999999999
0.801001001001001,0.29892029999999997,0.006566099999999963
0.802002002002002,0.294281,0.027792599999999973
0.8030030030030031,0.210862,0.05669859999999998
0.8040040040040041,0.1938493,0.023694899999999974
0.805005005005005,0.1555399,0.0384745
0.806006006006006,0.2711056,0.011671199999999993
0.807007007007007,0.2086075,0.0463113
0.8080080080080081,0.2233812,0.018688399999999994
0.8090090090090091,0.21982860000000004,0.09723460000000002
0.81001001001001,0.18663819999999998,0.07370539999999998
0.811011011011011,0.24143680000000003,0.046752800000000004
0.812012012012012,0.27074200000000004,0.03241340000000001
0.8130130130130131,0.3968585,0.04010349999999996
0.8140140140140141,0.31430210000000003,0.07476309999999999
0.815015015015015,0.3595215,0.10838130000000001
0.816016016016016,0.171818,0.0017093999999999998
0.817017017017017,0.1950651,0.024157500000000012
0.8180180180180181,0.3432855,0.038847899999999956
0.8190190190190191,0.290561,0.16138059999999999
0.8200200200200201,0.23117940000000003,0.048556400000000007
0.821021021021021,0.2698158,0.05010579999999996
0.822022022022022,0.25004069999999995,0.012044900000000011
0.8230230230230231,0.152696,0.010376199999999986
0.8240240240240241,0.2620011,0.0012304999999999955
0.8250250250250251,0.3108264,0.08611820000000002
0.826026026026026,0.25238800000000006,0.07791000000000001
0.827027027027027,0.20762990000000003,0.053828700000000014
0.8280280280280281,0.19616279999999997,0.06786259999999998
0.8290290290290291,0.382081,0.015466999999999979
0.8300300300300301,0.20956589999999997,0.02545669999999998
0.831031031031031,0.2543154,0.09687800000000002
0.832032032032032,0.2624849,0.031190899999999994
0.8330330330330331,0.3007629,0.041934099999999974
0.8340340340340341,0.326674,0.1043876
0.8350350350350351,0.2653997,0.00652430000000001
0.836036036036036,0.2368234,0.10700279999999998
0.837037037037037,0.1928811,0.013244100000000009
0.8380380380380381,0.2564245,0.02532170000000001
0.8390390390390391,0.2462862,0.09962419999999998
0.8400400400400401,0.2550822,0.021222
0.841041041041041,0.1968317,0.045463899999999974
0.842042042042042,0.25718870000000005,0.03296590000000002
0.8430430430430431,0.2371386,0.08872979999999998
0.8440440440440441,0.2203083,0.0349235
0.8450450450450451,0.34013909999999997,0.001505299999999987
0.846046046046046,0.2686744,0.06663519999999998
0.8470470470470471,0.3064281,0.18541749999999996
0.8480480480480481,0.2265623,0.02094670000000001
0.8490490490490491,0.21962310000000002,0.046491100000000014
0.8500500500500501,0.34163449999999995,0.11052350000000001
0.851051051051051,0.18220039999999998,0.0835518
0.8520520520520521,0.35738539999999996,0.10165279999999997
0.8530530530530531,0.34706129999999996,0.00489050000000002
0.8540540540540541,0.2782272,0.01302060000000002
0.8550550550550551,0.17044469999999998,0.06262349999999998
0.8560560560560561,0.23042210000000002,0.049330700000000005
0.8570570570570571,0.1910827,0.0614407
0.8580580580580581,0.1748723,0.019781899999999988
0.8590590590590591,0.19473870000000001,0.022067300000000012
0.8600600600600601,0.16594029999999999,0.0250055
0.8610610610610611,0.337708,0.013363399999999996
0.8620620620620622,0.1667732,0.03606179999999999
0.8630630630630631,0.2719551,0.045290699999999975
0.8640640640640641,0.19417990000000002,0.02825770000000001
0.8650650650650651,0.2384912,0.06318999999999998
0.8660660660660661,0.20507330000000001,0.03409650000000001
0.8670670670670672,0.22463280000000002,0.03805900000000002
0.8680680680680681,0.2015534,0.0029886000000000352
0.8690690690690691,0.2640297,0.10732349999999999
0.8700700700700701,0.2520817,0.09483629999999998
0.8710710710710711,0.2512876,0.04657959999999998
0.8720720720720722,0.3601864,0.23253939999999995
0.8730730730730731,0.2362671,0.11703649999999997
0.8740740740740741,0.2587795,0.04195310000000001
0.8750750750750751,0.18777259999999998,0.0021084000000000103
0.8760760760760762,0.2572834,0.10645780000000002
0.8770770770770772,0.2728305,0.039637899999999976
0.8780780780780781,0.2043909,0.051648699999999985
0.8790790790790791,0.4555408,0.11892439999999997
0.8800800800800801,0.4665347,0.008861500000000022
0.8810810810810812,0.25363009999999997,0.06069789999999999
0.8820820820820822,0.15391290000000002,0.015725100000000006
0.8830830830830831,0.23635040000000002,0.1227124
0.8840840840840841,0.3169021,0.04047109999999998
0.8850850850850851,0.2160553,0.06119589999999998
0.8860860860860862,0.21749410000000002,0.01025290000000001
0.8870870870870872,0.3858889,0.012253700000000005
0.8880880880880881,0.2803097,0.08159729999999998
0.8890890890890891,0.22722590000000004,0.0675557
0.8900900900900901,0.2227116,0.033796
0.8910910910910912,0.2751267,0.059094700000000014
0.8920920920920922,0.2475677,0.04161950000000002
0.8930930930930931,0.17406540000000004,0.007773999999999989
0.8940940940940941,0.1797201,0.02836709999999999
0.8950950950950951,0.3200042,0.00917960000000001
0.8960960960960962,0.19836600000000001,0.06163100000000001
0.8970970970970972,0.2236844,0.049242200000000014
0.8980980980980982,0.2010404,0.024310399999999992
0.8990990990990991,0.2524574,0.028574200000000004
0.9001001001001001,0.2919749,0.11824229999999997
0.9011011011011012,0.3063455,0.15184330000000001
0.9021021021021022,0.3162372,0.0640194
0.9031031031031032,0.2311523,0.1332989
0.9041041041041041,0.372881,0.034294999999999985
0.9051051051051051,0.2768189,0.0015721000000000205
0.9061061061061062,0.2330142,0.012101200000000006
0.9071071071071072,0.26606399999999997,0.02415460000000001
0.9081081081081082,0.26066300000000003,0.021433800000000003
0.9091091091091091,0.21081280000000002,0.06297040000000002
0.9101101101101101,0.2799179,0.033046700000000026
0.9111111111111112,0.247165,0.05642199999999999
0.9121121121121122,0.19571460000000002,0.04927300000000001
0.9131131131131132,0.1949844,0.0712672
0.9141141141141141,0.1742115,0.06613149999999998
0.9151151151151151,0.2814563,0.0041611
0.9161161161161162,0.2305066,0.0674924
0.9171171171171172,0.24212740000000005,0.023113400000000006
0.9181181181181182,0.24386560000000002,0.01623559999999997
0.9191191191191191,0.25786950000000003,0.014896300000000027
0.9201201201201201,0.2915478,0.01133239999999999
0.9211211211211212,0.25155310000000003,0.050130500000000015
0.9221221221221222,0.2193309,0.009378300000000006
0.9231231231231232,0.2795556,0.13968480000000003
0.9241241241241241,0.221565,0.08216660000000002
0.9251251251251251,0.189079,0.048510400000000016
0.9261261261261262,0.2564432,0.103822
0.9271271271271272,0.31751759999999996,0.04253179999999998
0.9281281281281282,0.3449147,0.027625099999999958
0.9291291291291291,0.4405136,0.046076600000000016
0.9301301301301301,0.3307007,0.05466409999999999
0.9311311311311312,0.252989,0.02087000000000001
0.9321321321321322,0.25420370000000003,0.08226209999999999
0.9331331331331332,0.2107981,0.045664899999999994
0.9341341341341342,0.30513900000000005,0.03716800000000001
0.9351351351351351,0.2866918,0.0012012000000000132
0.9361361361361362,0.34448179999999995,0.04733020000000002
0.9371371371371372,0.1538239,0.0195491
0.9381381381381382,0.20064939999999998,0.02619199999999998
0.9391391391391392,0.3649838,0.1267216
0.9401401401401401,0.2664444,0.0259602
0.9411411411411412,0.25699510000000003,0.10071330000000003
0.9421421421421422,0.2877193,0.0975535
0.9431431431431432,0.23860949999999997,0.012498099999999996
0.9441441441441442,0.23370390000000002,0.005112499999999978
0.9451451451451451,0.18733219999999998,0.013765600000000017
0.9461461461461462,0.36102860000000003,0.009178199999999997
0.9471471471471472,0.22510860000000002,0.0950312
0.9481481481481482,0.4031353,0.02507590000000001
0.9491491491491492,0.25739310000000004,0.003237099999999965
0.9501501501501501,0.1569923,0.03368870000000001
0.9511511511511512,0.2633156,0.00857819999999998
0.9521521521521522,0.2215513,0.08424729999999998
0.9531531531531532,0.3537312,0.10410760000000004
0.9541541541541542,0.3008186,0.038439
0.9551551551551551,0.2777018,0.019196200000000024
0.9561561561561562,0.19926049999999998,0.046704499999999975
