serie,fit,type,centre,amplitude,FWHM,offset,xmin_fit,xmax_fit
Aimant plus proche,1,lorentzienne,1.1024463091485732,6.985044474140778,0.05305867849617884,0.18786298467216975,0.8,1.8
Aimant plus loin,1,lorentzienne,1.103630729919503,10.273730544931574,0.05103743276554836,0.1619675994927186,0.8,1.8
