Frequence_GHz,Amplitude
0.025,0.10430875
0.026000404203718675,0.09838999999999999
0.02700080840743735,0.10538
0.028001212611156023,0.12117375000000001
0.029001616814874696,0.09100249999999999
0.030002021018593374,0.13161499999999998
0.031002425222312047,0.07463499999999999
0.03200282942603072,0.11668125
0.0330032336297494,0.1361425
0.03400363783346807,0.07232749999999999
0.03500404203718674,0.07623250000000001
0.036004446240905416,0.10219875
0.03700485044462409,0.18611625000000004
0.038005254648342764,0.0742675
0.03900565885206144,0.046717499999999995
0.04000606305578011,0.06180875
0.04100646725949879,0.06127874999999999
0.042006871463217466,0.07103250000000001
0.043007275666936136,0.0850325
0.044007679870654806,0.10870750000000001
0.04500808407437348,0.11590375000000001
0.04600848827809216,0.20227499999999998
0.04700889248181084,0.0579875
0.04800929668552951,0.156385
0.04900970088924818,0.13976750000000002
0.050010105092966856,0.0467375
0.05101050929668553,0.11437875
0.0520109135004042,0.132015
0.05301131770412288,0.1101825
0.05401172190784155,0.1431425
0.05501212611156023,0.12740375
0.056012530315278905,0.2315325
0.057012934518997575,0.11014750000000001
0.05801333872271625,0.08672749999999999
0.05901374292643492,0.1182325
0.0600141471301536,0.13634000000000002
0.06101455133387227,0.0932275
0.06201495553759095,0.08930875
0.06301535974130962,0.10259750000000002
0.0640157639450283,0.08491875
0.06501616814874697,0.1543825
0.06601657235246564,0.07108125
0.06701697655618433,0.15396374999999998
0.06801738075990299,0.08755625
0.06901778496362167,0.17413375000000003
0.07001818916734034,0.13832875
0.07101859337105901,0.18221625000000002
0.07201899757477769,0.13393375000000002
0.07301940177849636,0.21368749999999997
0.07401980598221504,0.08495875
0.07502021018593372,0.15718625
0.07602061438965238,0.17317
0.07702101859337106,0.04201625
0.07802142279708973,0.10258625
0.0790218270008084,0.11253624999999999
0.08002223120452709,0.10116249999999999
0.08102263540824575,0.08370625000000001
0.08202303961196443,0.072205
0.0830234438156831,0.10060625
0.08402384801940177,0.15686250000000002
0.08502425222312046,0.10509625
0.08602465642683912,0.11607624999999999
0.0870250606305578,0.12457499999999999
0.08802546483427648,0.10209625000000001
0.08902586903799514,0.1118825
0.09002627324171383,0.11268999999999998
0.0910266774454325,0.12010749999999999
0.09202708164915116,0.10288625
0.09302748585286985,0.14796625
0.09402789005658851,0.12573875
0.0950282942603072,0.17488750000000003
0.09602869846402587,0.08880125
0.09702910266774453,0.08544750000000001
0.09802950687146322,0.06440125000000001
0.09902991107518189,0.1983725
0.10003031527890058,0.11509499999999999
0.10103071948261924,0.063185
0.1020311236863379,0.15526375
0.1030315278900566,0.1340625
0.10403193209377526,0.073855
0.10503233629749392,0.11184000000000001
0.10603274050121261,0.11106499999999998
0.10703314470493128,0.14729375
0.10803354890864997,0.12145875
0.10903395311236863,0.1073675
0.1100343573160873,0.120465
0.11103476151980599,0.19723750000000004
0.11203516572352465,0.09172375
0.11303556992724334,0.12260124999999998
0.114035974130962,0.10221499999999999
