345,274	-416,45765	
345,493	-416,45765	
345,712	-416,45765	
345,932	-481,00138	
346,151	-10,57795	
346,37	105,94571	
346,59	-39,71133	
346,809	-143,7674	
347,028	-50,11636	
347,247	-43,87333	
347,467	-39,71133	
347,686	-16,82073	
347,905	31,03945	
348,124	85,13906	
348,343	118,42946	
348,563	3,98837	
348,782	80,97767	
349,001	-23,06356	
349,22	91,38111	
349,439	-4,33521	
349,658	-70,92679	
349,877	-23,06356	
350,096	-16,82073	
350,315	-23,06356	
350,534	145,47698	
350,753	24,79697	
350,972	28,95863	
351,191	68,49339	
351,41	37,28189	
351,629	12,31187	
351,848	68,49339	
352,067	-8,49703	
352,286	-25,14452	
352,505	-54,2784	
352,724	-29,30644	
352,943	-162,49887	
353,162	-85,4944	
353,381	-85,4944	
353,599	-33,46838	
353,818	-37,63035	
354,037	8,15013	
354,256	-2,25431	
354,475	-6,41612	
354,693	39,36269	
354,912	16,47359	
355,131	-64,68361	
355,35	10,231	
355,568	3,98837	
355,787	-64,68361	
356,006	35,20108	
356,224	-100,06227	
356,443	187,08695	
356,661	-12,65887	
356,88	49,76662	
357,099	-58,44047	
357,317	-39,71133	
357,536	24,79697	
357,754	-83,4133	
357,973	31,03945	
358,191	-18,90167	
358,41	24,79697	
358,628	-18,90167	
358,847	26,8778	
359,065	-48,03534	
359,284	-73,00786	
359,502	-31,38741	
359,721	-23,06356	
359,939	20,63529	
360,157	58,08968	
360,376	-0,17341	
360,594	-62,60256	
360,813	-79,25111	
361,031	-8,49703	
361,249	51,84739	
361,467	43,52428	
361,686	-95,89999	
361,904	-41,79233	
362,122	-56,35943	
362,341	12,31187	
362,559	78,89697	
362,777	-8,49703	
362,995	93,46178	
363,213	-54,2784	
363,431	-20,98261	
363,65	182,92604	
363,868	-77,17002	
364,086	124,67127	
364,304	-45,95433	
364,522	37,28189	
364,74	26,8778	
364,958	-160,41758	
365,176	-77,17002	
365,394	28,95863	
365,612	-8,49703	
365,83	45,60506	
366,048	10,231	
366,266	18,55444	
366,484	41,44349	
366,702	-85,4944	
366,92	12,31187	
367,138	-87,57551	
367,356	16,47359	
367,574	31,03945	
367,792	35,20108	
368,01	-95,89999	
368,227	224,53426	
368,445	-35,54936	
368,663	122,59067	
368,881	-16,82073	
369,099	-116,71157	
369,316	-2,25431	
369,534	14,39273	
369,752	-18,90167	
369,97	-27,22547	
370,187	-64,68361	
370,405	-31,38741	
370,623	164,20171	
370,84	10,231	
371,058	-60,52151	
371,276	24,79697	
371,493	-25,14452	
371,711	85,13906	
371,928	-66,76466	
372,146	35,20108	
372,364	39,36269	
372,581	76,81627	
372,799	24,79697	
373,016	-14,7398	
373,234	66,41266	
373,451	-60,52151	
373,669	3,98837	
373,886	-23,06356	
374,103	-12,65887	
374,321	60,17043	
374,538	35,20108	
374,756	45,60506	
374,973	-33,46838	
375,19	-75,08894	
375,408	-45,95433	
375,625	-29,30644	
375,842	16,47359	
376,06	26,8778	
376,277	72,65484	
376,494	-75,08894	
376,712	37,28189	
376,929	-77,17002	
377,146	49,76662	
377,363	-2,25431	
377,581	64,33192	
377,798	149,63807	
378,015	-52,19738	
378,232	-89,65662	
378,449	110,10698	
378,666	56,00892	
378,883	14,39273	
379,101	-23,06356	
379,318	-20,98261	
379,535	20,63529	
379,752	164,20171	
379,969	-60,52151	
380,186	37,28189	
380,403	58,08968	
380,62	-20,98261	
380,837	-31,38741	
381,054	97,62311	
381,271	87,21975	
381,488	18,55444	
381,705	-37,63035	
381,921	-45,95433	
382,138	105,94571	
382,355	87,21975	
382,572	-20,98261	
382,789	-45,95433	
383,006	41,44349	
383,223	-10,57795	
383,439	103,86507	
383,656	16,47359	
383,873	-12,65887	
384,09	6,06925	
384,306	6,06925	
384,523	58,08968	
384,74	155,87966	
384,957	95,54245	
385,173	-39,71133	
385,39	14,39273	
385,607	85,13906	
385,823	-64,68361	
386,04	-29,30644	
386,256	-29,30644	
386,473	147,55753	
386,69	-79,25111	
386,906	-75,08894	
387,123	45,60506	
387,339	-70,92679	
387,556	-85,4944	
387,772	-16,82073	
387,989	72,65484	
388,205	-37,63035	
388,422	-20,98261	
388,638	-35,54936	
388,855	122,59067	
389,071	110,10698	
389,287	83,05837	
389,504	-20,98261	
389,72	-43,87333	
389,937	-18,90167	
390,153	-112,54921	
390,369	43,52428	
390,585	-29,30644	
390,802	-10,57795	
391,018	10,231	
391,234	24,79697	
391,451	-70,92679	
391,667	8,15013	
391,883	47,68585	
392,099	45,60506	
392,315	-81,3322	
392,532	-108,38688	
392,748	14,39273	
392,964	-2,25431	
393,18	33,12027	
393,396	-95,89999	
393,612	56,00892	
393,828	-56,35943	
394,044	-39,71133	
394,26	130,91304	
394,477	-33,46838	
394,693	-31,38741	
394,909	-12,65887	
395,125	41,44349	
395,341	89,30043	
395,557	6,06925	
395,772	12,31187	
395,988	174,60416	
396,204	64,33192	
396,42	31,03945	
396,636	1,90748	
396,852	37,28189	
397,068	14,39273	
397,284	26,8778	
397,5	114,26823	
397,715	8,15013	
397,931	-79,25111	
398,147	39,36269	
398,363	20,63529	
398,578	6,06925	
398,794	-39,71133	
399,01	-45,95433	
399,226	64,33192	
399,441	-79,25111	
399,657	-93,81887	
399,873	-20,98261	
400,088	91,38111	
400,304	56,00892	
400,52	99,70377	
400,735	-31,38741	
400,951	78,89697	
401,166	39,36269	
401,382	-2,25431	
401,597	39,36269	
401,813	153,79913	
402,029	70,57411	
402,244	-35,54936	
402,46	143,39644	
402,675	-56,35943	
402,89	103,86507	
403,106	108,02635	
403,321	39,36269	
403,537	-50,11636	
403,752	53,92816	
403,968	-79,25111	
404,183	35,20108	
404,398	6,06925	
404,614	22,71613	
404,829	-16,82073	
405,044	70,57411	
405,26	-0,17341	
405,475	97,62311	
405,69	22,71613	
405,905	-39,71133	
406,121	132,99362	
406,336	39,36269	
406,551	31,03945	
406,766	47,68585	
406,981	112,18761	
407,196	93,46178	
407,412	-64,68361	
407,627	-68,84573	
407,842	89,30043	
408,057	199,56956	
408,272	-50,11636	
408,487	33,12027	
408,702	-43,87333	
408,917	31,03945	
409,132	114,26823	
409,347	-10,57795	
409,562	-27,22547	
409,777	-18,90167	
409,992	101,78442	
410,207	-39,71133	
410,422	97,62311	
410,637	22,71613	
410,852	-131,27998	
411,067	70,57411	
411,282	-158,33629	
411,496	-39,71133	
411,711	-10,57795	
411,926	116,34885	
412,141	66,41266	
412,356	31,03945	
412,571	-41,79233	
412,785	-10,57795	
413	10,231	
413,215	76,81627	
413,429	101,78442	
413,644	43,52428	
413,859	-89,65662	
414,074	-37,63035	
414,288	45,60506	
414,503	-62,60256	
414,718	8,15013	
414,932	33,12027	
415,147	3,98837	
415,361	-25,14452	
415,576	87,21975	
415,79	-52,19738	
416,005	-6,41612	
416,22	28,95863	
416,434	39,36269	
416,649	-87,57551	
416,863	14,39273	
417,077	-4,33521	
417,292	20,63529	
417,506	259,89974	
417,721	-108,38688	
417,935	164,20171	
418,15	-33,46838	
418,364	20,63529	
418,578	20,63529	
418,793	-31,38741	
419,007	18,55444	
419,221	-14,7398	
419,436	-75,08894	
419,65	58,08968	
419,864	3,98837	
420,078	53,92816	
420,293	66,41266	
420,507	14,39273	
420,721	56,00892	
420,935	-20,98261	
421,149	-37,63035	
421,364	-73,00786	
421,578	47,68585	
421,792	-35,54936	
422,006	-4,33521	
422,22	24,79697	
422,434	49,76662	
422,648	-118,79275	
422,862	139,23532	
423,076	-0,17341	
423,29	-43,87333	
423,504	-102,14341	
423,718	101,78442	
423,932	26,8778	
424,146	-10,57795	
424,36	-10,57795	
424,574	160,04069	
424,788	132,99362	
425,002	3,98837	
425,216	97,62311	
425,43	-60,52151	
425,644	74,73555	
425,858	-110,46804	
426,071	-25,14452	
426,285	22,71613	
426,499	89,30043	
426,713	68,49339	
426,927	76,81627	
427,14	-31,38741	
427,354	230,77532	
427,568	-56,35943	
427,782	145,47698	
427,995	-29,30644	
428,209	103,86507	
428,423	97,62311	
428,636	-83,4133	
428,85	-45,95433	
429,063	33,12027	
429,277	120,51007	
429,491	-81,3322	
429,704	89,30043	
429,918	16,47359	
430,131	51,84739	
430,345	24,79697	
430,558	-120,87395	
430,772	-23,06356	
430,985	18,55444	
431,199	87,21975	
431,412	-35,54936	
431,626	-91,73774	
431,839	-58,44047	
432,053	66,41266	
432,266	-29,30644	
432,479	68,49339	
432,693	47,68585	
432,906	1,90748	
433,119	-43,87333	
433,333	-33,46838	
433,546	112,18761	
433,759	26,8778	
433,973	16,47359	
434,186	76,81627	
434,399	18,55444	
434,612	74,73555	
434,825	153,79913	
435,039	-6,41612	
435,252	-25,14452	
435,465	187,08695	
435,678	-193,71896	
435,891	-12,65887	
436,104	33,12027	
436,318	47,68585	
436,531	-0,17341	
436,744	-14,7398	
436,957	-0,17341	
437,17	-60,52151	
437,383	68,49339	
437,596	-48,03534	
437,809	-66,76466	
438,022	35,20108	
438,235	-23,06356	
438,448	124,67127	
438,661	103,86507	
438,874	35,20108	
439,086	37,28189	
439,299	153,79913	
439,512	160,04069	
439,725	95,54245	
439,938	62,25118	
440,151	-29,30644	
440,364	-41,79233	
440,576	74,73555	
440,789	-16,82073	
441,002	3,98837	
441,215	-50,11636	
441,427	-27,22547	
441,64	51,84739	
441,853	60,17043	
442,066	-12,65887	
442,278	-43,87333	
442,491	1,90748	
442,704	78,89697	
442,916	28,95863	
443,129	203,73039	
443,341	85,13906	
443,554	-62,60256	
443,767	33,12027	
443,979	62,25118	
444,192	78,89697	
444,404	45,60506	
444,617	45,60506	
444,829	68,49339	
445,042	99,70377	
445,254	33,12027	
445,467	-116,71157	
445,679	174,60416	
445,892	28,95863	
446,104	43,52428	
446,316	-64,68361	
446,529	-18,90167	
446,741	39,36269	
446,953	41,44349	
447,166	-120,87395	
447,378	45,60506	
447,59	56,00892	
447,803	18,55444	
448,015	85,13906	
448,227	37,28189	
448,439	-66,76466	
448,652	-39,71133	
448,864	95,54245	
449,076	141,31588	
449,288	45,60506	
449,5	26,8778	
449,712	-33,46838	
449,925	108,02635	
450,137	72,65484	
450,349	-79,25111	
450,561	66,41266	
450,773	-10,57795	
450,985	6,06925	
451,197	39,36269	
451,409	-33,46838	
451,621	89,30043	
451,833	89,30043	
452,045	64,33192	
452,257	-6,41612	
452,469	-6,41612	
452,681	-97,98113	
452,893	-52,19738	
453,105	189,16739	
453,317	62,25118	
453,529	-54,2784	
453,74	12,31187	
453,952	-131,27998	
454,164	143,39644	
454,376	-29,30644	
454,588	24,79697	
454,799	-41,79233	
455,011	33,12027	
455,223	-87,57551	
455,435	-20,98261	
455,646	31,03945	
455,858	-81,3322	
456,07	51,84739	
456,281	12,31187	
456,493	128,83245	
456,705	68,49339	
456,916	-116,71157	
457,128	58,08968	
457,34	-41,79233	
457,551	91,38111	
457,763	99,70377	
457,974	-48,03534	
458,186	22,71613	
458,397	-10,57795	
458,609	43,52428	
458,82	26,8778	
459,032	-4,33521	
459,243	147,55753	
459,455	97,62311	
459,666	-75,08894	
459,878	66,41266	
460,089	91,38111	
460,3	-64,68361	
460,512	-23,06356	
460,723	68,49339	
460,934	80,97767	
461,146	126,75187	
461,357	320,22592	
461,568	33,12027	
461,78	132,99362	
461,991	64,33192	
462,202	37,28189	
462,413	87,21975	
462,625	39,36269	
462,836	-39,71133	
463,047	18,55444	
463,258	3,98837	
463,469	-33,46838	
463,68	-68,84573	
463,891	-0,17341	
464,103	8,15013	
464,314	16,47359	
464,525	76,81627	
464,736	110,10698	
464,947	89,30043	
465,158	72,65484	
465,369	-27,22547	
465,58	-91,73774	
465,791	45,60506	
466,002	-6,41612	
466,213	-73,00786	
466,424	-93,81887	
466,635	-2,25431	
466,846	99,70377	
467,056	-33,46838	
467,267	45,60506	
467,478	10,231	
467,689	-64,68361	
467,9	-10,57795	
468,111	-68,84573	
468,322	41,44349	
468,532	16,47359	
468,743	-4,33521	
468,954	201,64997	
469,165	-27,22547	
469,375	14,39273	
469,586	68,49339	
469,797	99,70377	
470,007	8,15013	
470,218	-114,63039	
470,429	-35,54936	
470,639	199,56956	
470,85	-68,84573	
471,061	-35,54936	
471,271	-100,06227	
471,482	31,03945	
471,692	101,78442	
471,903	-60,52151	
472,113	6,06925	
472,324	64,33192	
472,534	89,30043	
472,745	-0,17341	
472,955	-77,17002	
473,166	76,81627	
473,376	56,00892	
473,587	47,68585	
473,797	-106,30572	
474,007	22,71613	
474,218	-12,65887	
474,428	76,81627	
474,638	51,84739	
474,849	37,28189	
475,059	-6,41612	
475,269	37,28189	
475,48	8,15013	
475,69	20,63529	
475,9	37,28189	
476,11	-29,30644	
476,321	141,31588	
476,531	85,13906	
476,741	45,60506	
476,951	-41,79233	
477,161	128,83245	
477,371	-6,41612	
477,581	37,28189	
477,792	-150,01117	
478,002	93,46178	
478,212	53,92816	
478,422	-29,30644	
478,632	12,31187	
478,842	31,03945	
479,052	-54,2784	
479,262	74,73555	
479,472	95,54245	
479,682	62,25118	
479,892	-23,06356	
480,102	49,76662	
480,312	-56,35943	
480,522	70,57411	
480,731	16,47359	
480,941	108,02635	
481,151	-31,38741	
481,361	53,92816	
481,571	-129,19876	
481,781	76,81627	
481,991	10,231	
482,2	58,08968	
482,41	-8,49703	
482,62	70,57411	
482,83	178,76511	
483,039	-25,14452	
483,249	-64,68361	
483,459	147,55753	
483,668	87,21975	
483,878	-33,46838	
484,088	-52,19738	
484,297	28,95863	
484,507	56,00892	
484,716	24,79697	
484,926	18,55444	
485,136	-14,7398	
485,345	103,86507	
485,555	-10,57795	
485,764	-81,3322	
485,974	83,05837	
486,183	141,31588	
486,393	112,18761	
486,602	26,8778	
486,812	41,44349	
487,021	31,03945	
487,23	18,55444	
487,44	-58,44047	
487,649	-4,33521	
487,859	185,00649	
488,068	-68,84573	
488,277	24,79697	
488,487	-60,52151	
488,696	-45,95433	
488,905	-45,95433	
489,115	18,55444	
489,324	-81,3322	
489,533	-64,68361	
489,742	91,38111	
489,951	-0,17341	
490,161	33,12027	
490,37	-29,30644	
490,579	-66,76466	
490,788	85,13906	
490,997	-131,27998	
491,206	89,30043	
491,415	12,31187	
491,625	-2,25431	
491,834	-12,65887	
492,043	153,79913	
492,252	-18,90167	
492,461	12,31187	
492,67	-6,41612	
492,879	149,63807	
493,088	-41,79233	
493,297	405,50796	
493,506	-50,11636	
493,715	249,49827	
493,924	-48,03534	
494,132	126,75187	
494,341	39,36269	
494,55	147,55753	
494,759	139,23532	
494,968	66,41266	
495,177	70,57411	
495,386	56,00892	
495,594	26,8778	
495,803	93,46178	
496,012	-6,41612	
496,221	33,12027	
496,429	56,00892	
496,638	137,15476	
496,847	70,57411	
497,055	-29,30644	
497,264	1,90748	
497,473	76,81627	
497,681	141,31588	
497,89	141,31588	
498,099	-12,65887	
498,307	-79,25111	
498,516	141,31588	
498,724	-43,87333	
498,933	-56,35943	
499,141	-16,82073	
499,35	49,76662	
499,558	118,42946	
499,767	31,03945	
499,975	112,18761	
500,184	-60,52151	
500,392	-23,06356	
500,601	116,34885	
500,809	47,68585	
501,018	-41,79233	
501,226	-6,41612	
501,434	-50,11636	
501,643	31,03945	
501,851	85,13906	
502,059	-97,98113	
502,268	157,96018	
502,476	47,68585	
502,684	-64,68361	
502,892	216,21277	
503,101	12,31187	
503,309	31,03945	
503,517	1,90748	
503,725	-29,30644	
503,933	-81,3322	
504,141	-37,63035	
504,35	60,17043	
504,558	33,12027	
504,766	-41,79233	
504,974	166,28221	
505,182	49,76662	
505,39	20,63529	
505,598	-27,22547	
505,806	80,97767	
506,014	51,84739	
506,222	68,49339	
506,43	-12,65887	
506,638	230,77532	
506,846	60,17043	
507,054	49,76662	
507,262	-4,33521	
507,47	103,86507	
507,678	-68,84573	
507,886	8,15013	
508,094	47,68585	
508,301	170,44319	
508,509	16,47359	
508,717	-31,38741	
508,925	60,17043	
509,133	39,36269	
509,34	-16,82073	
509,548	39,36269	
509,756	-70,92679	
509,964	83,05837	
510,171	143,39644	
510,379	10,231	
510,587	60,17043	
510,794	-16,82073	
511,002	-43,87333	
511,21	66,41266	
511,417	-62,60256	
511,625	49,76662	
511,832	-10,57795	
512,04	-73,00786	
512,247	51,84739	
512,455	-66,76466	
512,663	172,52368	
512,87	22,71613	
513,078	145,47698	
513,285	83,05837	
513,492	18,55444	
513,7	1,90748	
513,907	-2,25431	
514,115	-16,82073	
514,322	47,68585	
514,529	-70,92679	
514,737	-41,79233	
514,944	10,231	
515,152	-18,90167	
515,359	6,06925	
515,566	66,41266	
515,773	-35,54936	
515,981	-25,14452	
516,188	-73,00786	
516,395	51,84739	
516,602	1,90748	
516,81	56,00892	
517,017	-48,03534	
517,224	116,34885	
517,431	-16,82073	
517,638	16,47359	
517,845	51,84739	
518,053	216,21277	
518,26	-97,98113	
518,467	10,231	
518,674	31,03945	
518,881	8,15013	
519,088	39,36269	
519,295	28,95863	
519,502	83,05837	
519,709	-143,7674	
519,916	43,52428	
